id,cpf,nome,data_nascimento,departamento,escolaridade,cidade
1,741.685.092-49,Zoe Araújo,14/02/2001,Vendas,Graduação,Fogaça da Mata
2,672.803.415-35,Srta. Fernanda Rios,23/01/1987,Marketing,Pós-Graduação,Cardoso
3,367.485.291-82,Kamilly Viana,21/07/1979,TI,Ensino Fundamental,Cavalcanti do Galho
4,918.462.075-76,Ravi Lucca Costela,26/11/1979,TI,Pós-Graduação,Rios de Goiás
5,543.902.167-16,Lucca Martins,23/11/2005,Marketing,Graduação,Almeida
6,902.548.167-11,Heloisa Fogaça,27/09/1994,Vendas,Ensino Fundamental,Fogaça
7,541.068.973-93,Luiz Felipe Sousa,14/01/1989,Marketing,Ensino Médio,Campos Alegre
8,234.175.908-41,José Pedro Campos,03/05/1973,Recursos Humanos,Ensino Médio,da Mata Alegre
9,315.742.098-41,Giovanna Sousa,17/08/1965,Recursos Humanos,Ensino Fundamental,Gomes da Praia
10,357.024.619-16,Vinicius da Rosa,18/06/2005,Financeiro,Ensino Fundamental,Azevedo
11,987.625.041-85,Laura Garcia,03/06/1994,Recursos Humanos,Graduação,Alves
12,540.731.962-43,Isaac Duarte,01/12/1990,Marketing,Pós-Graduação,Albuquerque
13,172.405.938-60,Ana Julia Novais,23/08/2007,Financeiro,Ensino Fundamental,da Mota do Oeste
14,953.786.104-00,Otávio Sampaio,06/03/1994,Financeiro,Ensino Fundamental,Sousa do Sul
15,715.069.834-48,Lara Moraes,09/02/2007,Marketing,Ensino Médio,da Mota
16,645.790.231-61,Marcelo Macedo,19/02/1998,Vendas,Ensino Fundamental,Correia do Campo
17,831.245.790-97,Dr. Arthur Miguel Cardoso,11/11/2004,Financeiro,Ensino Médio,Lopes de da Rocha
18,514.783.926-73,Antonella Alves,26/02/1988,TI,Pós-Graduação,Mendonça
19,853.921.607-86,Pedro Lucas da Rosa,04/07/2005,Financeiro,Ensino Médio,Nogueira da Prata
20,526.973.401-06,Hellena da Paz,10/09/1991,Vendas,Ensino Médio,da Cunha do Galho
21,026.538.719-12,Srta. Ana Júlia Rocha,06/10/1979,TI,Graduação,Cirino
22,498.157.206-94,Bianca Leão,06/02/1999,TI,Pós-Graduação,Carvalho de Garcia
23,045.796.132-52,Thales Cavalcante,23/11/1980,Financeiro,Graduação,Albuquerque da Mata
24,347.250.689-00,José Rocha,07/06/1996,Vendas,Graduação,da Rocha
25,056.382.941-98,Vitor Hugo Borges,16/02/1988,Marketing,Ensino Fundamental,Câmara
26,749.125.308-32,Nina Teixeira,19/08/1989,Financeiro,Graduação,Marques
27,031.495.267-52,Ana Cecília Machado,31/05/1970,Recursos Humanos,Pós-Graduação,Nunes da Praia
28,084.592.713-23,Sr. Nicolas Albuquerque,12/11/1998,Vendas,Ensino Médio,Garcia
